Date,open,high,low,close,adj_close,volume
2002-09-27,23.125000,23.125000,22.855000,23.075001,7.969560,9992
2002-09-30,22.940001,22.940001,22.375000,22.565001,7.793415,11904
2002-10-01,22.500000,22.875000,22.264999,22.645000,7.821045,8224
2002-10-02,null,null,null,null,null,null
2002-10-03,22.775000,22.780001,22.655001,22.655001,7.824500,168
2002-10-04,22.625000,22.625000,22.000000,22.020000,7.605185,9064
2002-10-07,18.125000,22.375000,18.125000,22.125000,7.641449,466
2002-10-08,22.750000,22.965000,22.299999,22.799999,7.874577,8544
2002-10-09,22.750000,22.815001,22.625000,22.674999,7.831406,4592
2002-10-10,22.500000,22.615000,22.500000,22.575001,7.796868,5048
2002-10-11,22.565001,23.125000,22.565001,22.995001,7.941926,8160
2002-10-14,22.980000,22.980000,22.545000,22.545000,7.786508,3680
2002-10-15,null,null,null,null,null,null
2002-10-16,22.565001,22.740000,22.254999,22.305000,7.703617,5072
2002-10-17,22.014999,22.264999,22.014999,22.250000,7.684622,1656
2002-10-18,23.000000,23.500000,22.645000,22.650000,7.822773,3320
2002-10-21,23.115000,23.115000,22.500000,22.590000,7.802050,5712
2002-10-22,22.280001,22.280001,22.275000,22.275000,7.693255,800
2002-10-23,22.375000,22.625000,22.375000,22.400000,7.736426,3800
2002-10-24,21.250000,22.870001,21.250000,22.745001,7.855583,11480
2002-10-25,21.905001,23.375000,21.905001,23.295000,8.045540,16488
2002-10-28,23.170000,23.170000,22.670000,22.805000,7.876304,11736
2002-10-29,22.750000,22.940001,22.500000,22.799999,7.874577,12960
2002-10-30,22.440001,23.120001,22.440001,23.004999,7.945381,6992
2002-10-31,23.000000,27.500000,23.000000,26.850000,9.273354,168224
2002-11-01,27.180000,28.750000,24.705000,25.170000,8.693120,74584
2002-11-04,25.125000,26.250000,25.125000,25.775000,8.902073,59296
2002-11-05,25.750000,25.750000,24.150000,25.315001,8.743200,29008
2002-11-06,null,null,null,null,null,null
2002-11-07,25.620001,25.625000,24.795000,25.205000,8.705207,6928
2002-11-08,25.120001,25.120001,24.405001,24.530001,8.472079,4216
2002-11-11,24.375000,25.000000,24.375000,24.725000,8.539431,5112
2002-11-12,24.350000,25.100000,24.350000,24.504999,8.463446,4664
2002-11-13,24.719999,24.950001,24.320000,24.875000,8.591236,1240
2002-11-14,25.245001,25.245001,24.690001,24.990000,8.630952,3640
2002-11-15,25.000000,25.000000,24.555000,24.670000,8.520432,3800
2002-11-18,24.514999,24.875000,24.500000,24.730000,8.541154,2920
2002-11-19,null,null,null,null,null,null
2002-11-20,25.000000,25.000000,24.389999,24.570000,8.485894,6320
2002-11-21,24.139999,24.600000,23.775000,24.094999,8.321841,14248
2002-11-22,23.905001,24.125000,23.790001,23.875000,8.245857,10392
2002-11-25,23.155001,24.375000,23.155001,24.000000,8.289030,10072
2002-11-26,24.375000,24.375000,23.520000,23.754999,8.204413,19144
2002-11-27,23.750000,23.750000,23.264999,23.465000,8.104255,5720
2002-11-28,24.000000,24.000000,23.264999,23.495001,8.114615,5864
2002-11-29,23.625000,23.730000,23.375000,23.590000,8.147429,4640
2002-12-02,23.625000,24.375000,23.625000,24.200001,8.358105,12680
2002-12-03,23.750000,23.750000,23.530001,23.600000,8.150880,10000
2002-12-04,23.594999,23.594999,22.775000,23.065001,7.966101,27576
2002-12-05,24.440001,24.440001,23.030001,23.075001,7.969560,23624
2002-12-06,23.440001,23.570000,22.655001,23.174999,8.004094,13624
2002-12-09,23.125000,23.625000,23.125000,23.270000,8.036904,13720
2002-12-10,22.820000,23.375000,22.820000,23.264999,8.035180,5216
2002-12-11,23.000000,23.549999,23.000000,23.375000,8.073168,4256
2002-12-12,23.625000,23.865000,23.125000,23.605000,8.152606,22096
2002-12-13,23.750000,23.995001,23.500000,23.545000,8.131885,10064
2002-12-16,23.750000,24.125000,23.625000,24.075001,8.314934,29728
2002-12-17,24.200001,24.594999,23.900000,24.014999,8.294209,32424
2002-12-18,24.250000,25.250000,24.025000,24.545000,8.477259,40016
2002-12-19,24.440001,25.625000,24.440001,25.105000,8.670671,42768
2002-12-20,25.250000,25.900000,25.250000,25.680000,8.869262,107880
2002-12-23,25.865000,25.865000,25.139999,25.320000,8.744927,16208
2002-12-24,25.370001,25.750000,24.850000,25.750000,8.893440,39760
2002-12-25,null,null,null,null,null,null
2002-12-26,25.190001,25.745001,25.125000,25.629999,8.851993,27600
2002-12-27,25.855000,26.205000,25.340000,25.924999,8.953880,30272
2002-12-30,25.750000,26.000000,25.275000,25.615000,8.846815,14880
2002-12-31,25.389999,25.625000,25.250000,25.275000,8.729384,9520
2003-01-01,25.815001,27.065001,25.690001,26.625000,9.195643,89712
2003-01-02,26.750000,27.625000,26.315001,26.605000,9.188734,62784
2003-01-03,26.875000,27.000000,26.250000,26.375000,9.109298,17936
2003-01-06,26.375000,27.490000,26.250000,27.320000,9.435678,57584
2003-01-07,27.475000,27.625000,26.625000,26.920000,9.297529,40944
2003-01-08,26.415001,28.219999,26.415001,27.180000,9.387327,102912
2003-01-09,27.250000,28.100000,27.250000,27.965000,9.658448,91856
2003-01-10,28.000000,28.125000,27.440001,27.840000,9.615275,64592
2003-01-13,30.000000,30.000000,27.504999,27.975000,9.661899,53688
2003-01-14,29.875000,29.875000,27.495001,28.280001,9.767239,170200
2003-01-15,28.750000,29.500000,28.629999,29.230000,10.095348,180752
2003-01-16,29.125000,29.370001,28.514999,29.139999,10.064265,69192
2003-01-17,29.065001,29.125000,27.764999,28.045000,9.686076,58768
2003-01-20,28.315001,28.375000,27.540001,28.195000,9.737884,42664
2003-01-21,28.315001,28.315001,27.895000,28.025000,9.679170,47776
2003-01-22,27.695000,28.330000,27.625000,28.190001,9.736155,53216
2003-01-23,28.250000,28.250000,27.270000,27.700001,9.566923,57624
2003-01-24,27.875000,28.115000,25.190001,25.475000,8.798460,98344
2003-01-27,25.500000,25.615000,24.379999,24.545000,8.477259,22072
2003-01-28,24.125000,25.365000,23.639999,24.514999,8.466899,52832
2003-01-29,24.975000,24.975000,24.375000,24.389999,8.423726,9744
2003-01-30,22.750000,25.250000,22.750000,24.605000,8.497983,7056
2003-01-31,24.004999,24.625000,24.000000,24.270000,8.382283,7592
2003-02-03,23.940001,25.250000,23.820000,25.045000,8.649949,15664
2003-02-04,25.000000,25.000000,24.000000,24.215000,8.363283,14792
2003-02-05,23.825001,24.315001,23.825001,24.049999,8.306298,51640
2003-02-06,24.014999,24.375000,23.900000,24.240000,8.371920,10352
2003-02-07,24.190001,24.500000,24.065001,24.440001,8.440993,11000
2003-02-10,24.775000,24.775000,23.750000,23.965000,8.276941,10472
2003-02-11,22.500000,24.315001,22.500000,23.900000,8.254493,23528
2003-02-12,23.875000,23.875000,23.139999,23.540001,8.130156,13440
2003-02-13,null,null,null,null,null,null
2003-02-14,23.500000,23.500000,22.875000,23.115000,7.983373,8152
2003-02-17,23.264999,23.930000,23.264999,23.764999,8.207868,10088
2003-02-18,24.129999,24.129999,23.625000,23.805000,8.221683,19880
2003-02-19,24.000000,24.350000,23.645000,23.865000,8.242404,11448
2003-02-20,23.750000,24.250000,23.750000,23.940001,8.268309,3120
2003-02-21,23.565001,23.975000,23.565001,23.690001,8.181963,9288
2003-02-24,23.570000,23.695000,23.420000,23.570000,8.140519,5648
2003-02-25,23.014999,23.495001,23.014999,23.320000,8.054173,12296
2003-02-26,24.365000,24.365000,23.030001,23.250000,8.029999,19984
2003-02-27,23.264999,23.655001,23.250000,23.615000,8.156059,5168
2003-02-28,23.375000,24.055000,23.275000,23.405001,8.083532,8880
2003-03-03,24.365000,24.375000,23.815001,23.875000,8.245857,11392
2003-03-04,23.389999,23.575001,23.014999,23.195000,8.011002,39664
2003-03-05,23.139999,23.139999,22.855000,22.940001,7.922932,5064
2003-03-06,24.815001,24.815001,22.625000,22.690001,7.836587,21016
2003-03-07,22.514999,22.745001,22.139999,22.230000,7.677713,10544
2003-03-10,21.389999,22.254999,21.344999,21.980000,7.591369,6768
2003-03-11,21.995001,22.500000,21.750000,21.965000,7.586189,8960
2003-03-12,22.125000,22.215000,22.000000,22.080000,7.625908,3312
2003-03-13,22.440001,22.465000,21.440001,21.514999,7.430769,15976
2003-03-14,null,null,null,null,null,null
2003-03-17,21.500000,21.625000,20.940001,21.219999,7.328884,21768
2003-03-18,null,null,null,null,null,null
2003-03-19,21.000000,23.370001,20.875000,20.995001,7.251176,23688
2003-03-20,22.195000,22.195000,21.065001,21.174999,7.313341,250440
2003-03-21,21.500000,21.575001,21.250000,21.530001,7.435951,9928
2003-03-24,21.375000,21.565001,20.900000,21.049999,7.270170,475608
2003-03-25,21.219999,21.415001,20.825001,21.004999,7.254628,35896
2003-03-26,21.375000,21.875000,21.250000,21.250000,7.339246,40784
2003-03-27,21.250000,21.430000,20.764999,20.965000,7.240813,18280
2003-03-28,20.805000,21.180000,20.100000,20.245001,6.992143,13960
2003-03-31,20.375000,20.650000,19.565001,19.844999,6.853992,14328
2003-04-01,20.049999,20.065001,19.764999,19.915001,6.878169,15288
2003-04-02,20.000000,20.375000,20.000000,20.070000,6.931702,16896
2003-04-03,21.040001,21.225000,20.750000,21.004999,7.254628,6360
2003-04-04,21.065001,21.625000,21.065001,21.245001,7.337520,21480
2003-04-07,21.850000,22.500000,21.565001,21.715000,7.499844,51728
2003-04-08,21.775000,22.030001,21.440001,21.520000,7.432495,45704
2003-04-09,21.805000,21.805000,21.375000,21.475000,7.416955,15616
2003-04-10,21.290001,21.290001,20.780001,20.995001,7.251176,14768
2003-04-11,21.250000,21.590000,20.920000,21.180000,7.315068,12392
2003-04-14,null,null,null,null,null,null
2003-04-15,21.500000,21.500000,21.004999,21.190001,7.318522,13440
2003-04-16,21.190001,21.190001,20.940001,21.065001,7.275351,56416
2003-04-17,20.195000,21.690001,20.195000,21.270000,7.346153,5576
2003-04-18,null,null,null,null,null,null
2003-04-21,21.280001,21.375000,20.895000,20.895000,7.216637,24144
2003-04-22,21.125000,21.355000,20.525000,20.665001,7.137202,32064
2003-04-23,20.920000,20.920000,20.495001,20.540001,7.094028,32232
2003-04-24,21.865000,21.865000,20.750000,20.844999,7.199368,6376
2003-04-25,20.940001,20.940001,20.389999,20.469999,7.069851,16400
2003-04-28,20.375000,21.125000,19.375000,19.650000,6.786643,102048
2003-04-29,21.094999,21.094999,19.815001,20.299999,7.011137,20864
2003-04-30,20.620001,21.225000,20.280001,21.014999,7.258081,37888
2003-05-01,null,null,null,null,null,null
2003-05-02,21.170000,21.480000,21.004999,21.344999,7.372056,24896
2003-05-05,21.870001,21.870001,21.320000,21.514999,7.430769,34112
2003-05-06,21.500000,21.750000,20.875000,21.000000,7.252900,37480
2003-05-07,21.370001,21.805000,20.940001,21.004999,7.254628,49224
2003-05-08,21.750000,21.750000,21.000000,21.040001,7.266717,22976
2003-05-09,21.240000,21.625000,21.240000,21.495001,7.423862,75536
2003-05-12,21.500000,22.250000,21.500000,22.174999,7.658716,76496
2003-05-13,22.480000,24.125000,22.480000,23.875000,8.245857,206072
2003-05-14,24.815001,25.500000,24.075001,24.305000,8.394372,330112
2003-05-15,24.725000,24.940001,24.125000,24.370001,8.416819,251720
2003-05-16,26.250000,26.250000,24.174999,24.465000,8.449632,112416
2003-05-19,24.750000,24.764999,23.875000,24.065001,8.311481,102928
2003-05-20,24.745001,24.745001,23.844999,24.250000,8.375371,63608
2003-05-21,24.600000,24.674999,23.820000,24.170000,8.347743,146760
2003-05-22,24.000000,24.250000,23.389999,23.719999,8.192326,142928
2003-05-23,24.230000,24.230000,22.315001,23.754999,8.204413,58440
2003-05-26,24.230000,24.350000,23.514999,23.730000,8.195779,116584
2003-05-27,23.875000,23.875000,23.500000,23.540001,8.130156,97448
2003-05-28,23.750000,24.225000,23.570000,23.639999,8.164693,68248
2003-05-29,23.639999,23.750000,23.504999,23.555000,8.135336,52304
2003-05-30,24.375000,24.375000,23.580000,23.745001,8.200960,240280
2003-06-02,23.775000,25.440001,23.775000,24.799999,8.565330,188376
2003-06-03,25.250000,25.594999,24.629999,24.844999,8.580873,200904
2003-06-04,25.375000,25.375000,24.815001,24.865000,8.587780,163384
2003-06-05,25.125000,26.030001,25.000000,25.115000,8.674125,312248
2003-06-06,25.125000,25.375000,23.775000,23.870001,8.244131,288504
2003-06-09,24.315001,24.875000,24.014999,24.525000,8.470350,226112
2003-06-10,24.250000,24.315001,23.750000,23.820000,12.209609,104776
2003-06-11,24.080000,24.315001,23.879999,23.995001,12.299312,41592
2003-06-12,23.900000,24.215000,23.875000,23.895000,12.248055,46544
2003-06-13,24.375000,24.549999,22.815001,22.995001,11.786733,206176
2003-06-16,23.125000,24.125000,23.000000,23.795000,12.196794,115008
2003-06-17,24.125000,24.180000,23.750000,23.915001,12.258304,225560
2003-06-18,24.375000,25.365000,24.245001,24.605000,12.611983,402568
2003-06-19,24.570000,26.000000,24.565001,25.480000,13.060488,450448
2003-06-20,25.500000,26.245001,25.475000,25.695000,13.170694,302304
2003-06-23,27.375000,27.375000,25.145000,25.290001,12.963098,186064
2003-06-24,25.264999,25.590000,25.000000,25.100000,12.865707,88648
2003-06-25,25.465000,25.530001,24.645000,24.850000,12.737561,119440
2003-06-26,24.770000,25.315001,24.764999,24.870001,12.747815,89848
2003-06-27,25.125000,27.375000,25.125000,26.445000,13.555127,643656
2003-06-30,26.990000,31.740000,26.875000,30.125000,15.441417,2058168
2003-07-01,31.125000,35.490002,30.440001,34.404999,17.635246,4662664
2003-07-02,34.990002,36.875000,32.500000,33.974998,17.414837,2283832
2003-07-03,34.340000,34.715000,32.689999,33.165001,16.999655,873184
2003-07-04,33.750000,33.750000,31.950001,32.674999,16.748486,610560
2003-07-07,33.090000,34.044998,31.969999,32.279999,16.546019,787592
2003-07-08,32.625000,32.799999,30.770000,31.145000,15.964243,473888
2003-07-09,31.250000,33.299999,30.650000,32.064999,16.435814,1162000
2003-07-10,33.000000,33.000000,30.940001,31.545000,16.169277,543552
2003-07-11,32.119999,32.330002,31.000000,31.225000,16.005249,301216
2003-07-14,31.250000,31.875000,31.000000,31.150000,15.966809,217160
2003-07-15,31.740000,31.740000,30.625000,31.075001,15.928361,276032
2003-07-16,31.690001,31.690001,30.825001,31.125000,15.953991,204736
2003-07-17,31.594999,31.674999,30.145000,30.555000,15.661822,205296
2003-07-18,30.375000,30.555000,28.750000,28.930000,14.828884,570816
2003-07-21,29.315001,29.340000,27.250000,27.725000,14.211226,216128
2003-07-22,27.750000,28.125000,27.375000,27.825001,14.262485,149608
2003-07-23,28.545000,28.940001,26.875000,27.325001,14.006197,361016
2003-07-24,28.125000,28.740000,27.375000,28.504999,14.611038,258256
2003-07-25,28.750000,29.430000,28.500000,29.115000,14.923713,324176
2003-07-28,29.424999,31.480000,29.405001,30.565001,15.666946,1042656
2003-07-29,31.055000,32.375000,30.375000,32.029999,16.417873,696040
2003-07-30,32.500000,33.740002,32.130001,32.505001,16.661350,774616
2003-07-31,32.500000,33.625000,32.500000,33.320000,17.079102,644128
2003-08-01,34.125000,34.965000,33.125000,33.349998,17.094475,1189672
2003-08-04,33.625000,35.779999,32.750000,35.465000,18.178579,1467784
2003-08-05,36.264999,37.314999,33.750000,34.064999,17.460966,1778392
2003-08-06,34.365002,36.044998,33.625000,35.325001,18.106823,1290392
2003-08-07,36.125000,36.750000,35.389999,35.695000,18.296474,707800
2003-08-08,35.875000,40.250000,35.869999,39.730000,20.364725,3343728
2003-08-11,39.750000,40.625000,38.125000,39.555000,20.275026,793176
2003-08-12,39.750000,40.540001,37.580002,37.970001,19.462589,496936
2003-08-13,38.500000,38.990002,37.500000,37.945000,19.449774,487288
2003-08-14,38.125000,38.375000,36.625000,37.395000,19.167860,316472
2003-08-15,null,null,null,null,null,null
2003-08-18,38.099998,38.099998,36.625000,36.845001,18.885941,188592
2003-08-19,37.250000,37.340000,35.639999,35.889999,18.396425,144880
2003-08-20,36.230000,38.375000,35.625000,37.154999,19.044840,373016
2003-08-21,37.500000,38.125000,37.145000,37.445000,19.193487,339008
2003-08-22,38.090000,38.090000,36.625000,37.020000,18.975643,369040
2003-08-25,37.465000,38.625000,35.875000,36.305000,18.609146,486232
2003-08-26,36.305000,37.865002,36.305000,37.570000,19.257557,313472
2003-08-27,38.375000,44.480000,38.125000,43.145000,22.115175,2218824
2003-08-28,44.125000,45.500000,42.514999,42.919998,21.999849,1122864
2003-08-29,43.125000,47.750000,43.125000,46.139999,23.650351,2016040
2003-09-01,47.314999,49.424999,47.125000,48.080002,24.644756,2070120
2003-09-02,48.750000,49.169998,46.130001,47.224998,24.206493,940888
2003-09-03,46.500000,47.500000,45.889999,46.125000,23.642666,650376
2003-09-04,47.215000,47.365002,44.505001,45.994999,23.576027,1043952
2003-09-05,46.564999,48.500000,46.250000,47.799999,24.501226,1313800
2003-09-08,48.480000,53.314999,48.375000,52.180000,26.746323,3152952
2003-09-09,52.605000,53.750000,49.380001,49.955002,25.605833,1706272
2003-09-10,48.264999,50.000000,47.154999,48.180000,24.696009,802352
2003-09-11,48.020000,51.174999,46.875000,48.994999,25.113762,794824
2003-09-12,49.740002,51.115002,47.250000,47.755001,24.478165,730992
2003-09-15,47.750000,48.750000,45.625000,46.099998,23.629845,491936
2003-09-16,45.250000,48.375000,44.075001,47.900002,24.552490,690160
2003-09-17,48.750000,53.125000,47.000000,47.555000,24.375650,876352
2003-09-18,47.994999,48.115002,45.125000,45.770000,23.460699,475208
2003-09-19,47.314999,47.314999,44.000000,45.680000,23.414568,613824
2003-09-22,47.125000,47.125000,45.125000,45.744999,23.447882,284080
2003-09-23,45.500000,46.865002,45.000000,46.369999,23.768244,381712
2003-09-24,46.500000,46.875000,45.255001,46.180000,23.670851,250688
2003-09-25,46.000000,49.500000,45.264999,47.075001,24.129610,715888
2003-09-26,47.375000,48.625000,47.029999,47.689999,24.444845,307800
2003-09-29,48.125000,50.375000,47.955002,49.514999,25.380306,745336
2003-09-30,50.119999,50.139999,48.500000,48.990002,25.111200,278664
2003-10-01,48.750000,52.750000,48.500000,51.395000,26.343950,1542848
2003-10-02,null,null,null,null,null,null
2003-10-03,51.875000,52.355000,49.520000,50.090000,25.675034,707392
2003-10-06,50.744999,51.250000,49.314999,49.674999,25.462313,396488
2003-10-07,50.250000,51.125000,49.375000,49.575001,25.411053,731856
2003-10-08,50.365002,51.125000,49.775002,50.349998,25.808302,394136
2003-10-09,51.000000,51.250000,50.250000,50.950001,26.115852,304040
2003-10-10,51.365002,51.365002,49.639999,49.904999,25.580208,174784
2003-10-13,50.875000,50.875000,49.125000,49.325001,25.282913,217792
2003-10-14,49.689999,50.325001,46.500000,46.994999,24.088604,429680
2003-10-15,46.875000,48.240002,46.264999,46.740002,23.957897,331424
2003-10-16,47.500000,47.875000,46.250000,47.494999,24.344898,357600
2003-10-17,48.500000,48.500000,46.915001,47.090000,24.137304,138872
2003-10-20,46.875000,47.375000,45.250000,45.669998,23.409441,128144
2003-10-21,45.750000,46.119999,43.825001,44.145000,22.627758,182624
2003-10-22,45.000000,45.314999,42.525002,42.939999,22.010107,477112
2003-10-23,44.750000,45.875000,39.070000,42.215000,21.638483,295552
2003-10-24,43.375000,43.724998,41.020000,42.955002,22.017794,308808
2003-10-27,42.855000,43.490002,41.514999,41.724998,21.387321,161840
2003-10-28,41.875000,42.424999,40.000000,40.400002,20.708151,130256
2003-10-29,41.270000,41.439999,38.750000,39.895000,20.449303,163680
2003-10-30,39.375000,41.875000,39.375000,41.375000,21.207914,398376
2003-10-31,42.000000,43.349998,41.865002,42.720001,21.897337,341648
2003-11-03,43.500000,44.500000,43.389999,44.195000,22.653389,497208
2003-11-04,44.500000,46.700001,43.150002,46.275002,23.719551,1009320
2003-11-05,46.290001,47.375000,45.419998,45.855000,23.504265,503712
2003-11-06,46.500000,47.000000,44.264999,44.665001,22.894302,206968
2003-11-07,45.125000,45.625000,43.500000,44.025002,22.566248,202496
2003-11-10,46.240002,46.240002,43.125000,43.490002,22.292017,106112
2003-11-11,44.000000,44.750000,43.025002,43.255001,22.171564,205536
2003-11-12,43.625000,44.349998,42.029999,42.529999,21.799944,492224
2003-11-13,42.875000,43.365002,41.564999,42.119999,21.589787,308600
2003-11-14,42.000000,42.125000,40.750000,40.990002,21.010572,86384
2003-11-17,41.490002,42.240002,41.014999,41.224998,21.131027,180016
2003-11-18,41.974998,42.865002,41.000000,42.380001,21.723057,299312
2003-11-19,42.500000,42.500000,40.625000,41.174999,21.105400,113752
2003-11-20,41.389999,42.049999,40.325001,40.605000,20.813234,130976
2003-11-21,40.314999,40.625000,39.205002,40.005001,20.505690,190704
2003-11-24,40.564999,40.625000,39.700001,39.880001,20.441618,166432
2003-11-25,40.125000,40.369999,39.625000,39.689999,20.344223,133840
2003-11-26,null,null,null,null,null,null
2003-11-27,40.549999,43.625000,40.264999,43.244999,22.166435,675928
2003-11-28,43.750000,44.689999,42.474998,42.770000,21.922966,326280
2003-12-01,44.615002,44.990002,43.505001,44.205002,22.658512,400832
2003-12-02,44.790001,46.494999,43.755001,45.840000,23.496574,613352
2003-12-03,46.250000,47.500000,46.000000,47.130001,24.157803,494176
2003-12-04,46.689999,48.125000,45.625000,46.465000,23.816940,426112
2003-12-05,46.639999,48.744999,46.639999,47.150002,24.168056,693448
2003-12-08,47.750000,49.404999,47.520000,49.205002,25.221403,498568
2003-12-09,49.375000,52.244999,49.250000,51.730000,26.515657,1067856
2003-12-10,53.115002,53.115002,50.615002,51.044998,26.164543,882048
2003-12-11,51.250000,51.875000,48.514999,50.005001,25.631466,500768
2003-12-12,50.125000,50.615002,48.375000,48.895000,25.062504,723512
2003-12-15,49.000000,51.105000,39.349998,50.139999,25.700663,401392
2003-12-16,50.625000,52.500000,49.665001,51.244999,26.267057,637040
2003-12-17,51.500000,52.549999,51.375000,52.105000,26.707878,787728
2003-12-18,52.500000,54.314999,52.250000,53.250000,27.294781,1488200
2003-12-19,53.674999,54.250000,53.125000,53.330002,27.335789,634688
2003-12-22,53.625000,54.000000,52.625000,52.965000,27.148697,629360
2003-12-23,53.625000,53.625000,51.500000,52.055000,26.682251,254416
2003-12-24,52.595001,52.625000,50.974998,51.205002,26.246559,327712
2003-12-25,null,null,null,null,null,null
2003-12-26,51.875000,52.480000,51.375000,51.955002,26.630995,260840
2003-12-29,52.750000,52.994999,51.005001,51.514999,26.405460,381768
2003-12-30,52.250000,53.500000,50.255001,50.994999,26.138916,794936
2003-12-31,51.744999,51.849998,49.875000,50.169998,25.716040,277464
2004-01-01,50.875000,51.595001,50.625000,50.965000,26.123547,146912
2004-01-02,51.625000,52.625000,51.250000,52.330002,26.823210,520432
2004-01-05,52.500000,53.000000,51.380001,51.575001,26.436209,368280
2004-01-06,51.750000,52.125000,50.014999,50.775002,26.026155,257632
2004-01-07,51.115002,51.115002,48.755001,49.500000,25.372612,177856
2004-01-08,50.125000,51.000000,49.000000,49.665001,25.457191,211512
2004-01-09,52.125000,52.125000,49.000000,49.544998,25.395679,202064
2004-01-12,49.125000,50.619999,49.125000,49.615002,25.431561,191904
2004-01-13,50.000000,50.000000,48.250000,49.165001,25.200899,254520
2004-01-14,49.805000,50.119999,48.939999,49.275002,25.257286,366512
2004-01-15,49.875000,49.875000,48.139999,48.490002,24.854912,131288
2004-01-16,48.945000,48.945000,46.264999,46.480000,23.824627,162520
2004-01-19,46.875000,47.500000,44.500000,46.014999,23.586281,310720
